factor,expr,IC_mean,ICIR,RankIC_mean,RankICIR,IC_pos_ratio
mom_10,"$close / Ref($close, 10) - 1",-0.02208341635223772,-0.151076092503564,-0.049639487765000156,-0.3032440520915595,0.4240766073871409
mom_20,"$close / Ref($close, 20) - 1",-0.027127757426152498,-0.17585615260364815,-0.059062107098951114,-0.35066183933636325,0.4103967168262654
mom_60,"$close / Ref($close, 60) - 1",-0.02741628480576082,-0.17056067592160132,-0.06249918507830032,-0.36088379662983977,0.466484268125855
rev_1,"Ref($close, 1) / $close - 1",-0.0011431379104009346,-0.0083624072203671,0.012860508134427974,0.08008393606946768,0.493844049247606
rev_5,"Ref($close, 5) / $close - 1",0.023256778674365965,0.17209731444022014,0.0438017298251448,0.2842090127724561,0.5841313269493844
mom_accel,"($close / Ref($close, 20) - 1) - ($close / Ref($close, 40) - 1)",0.003886403742446235,0.031101966197069147,0.014967197226153245,0.10580298161322668,0.5020519835841313
vol_20,"Std($close, 20) / Mean($close, 20)",-0.006456219826411516,-0.038281285072776096,-0.047833056169229886,-0.23995043766975988,0.4774281805745554
vol_60,"Std($close, 60) / Mean($close, 60)",0.004736354155179081,0.02831341091197347,-0.03412274811320668,-0.16530763703926446,0.49794801641586867
vol_change,"(Std($close, 5) / Std($close, 25))",-0.016107669719107723,-0.1705764553097882,-0.031169787742940217,-0.2745146796557552,0.4076607387140903
amt_zscore,"($amount - Mean($amount, 30)) / Std($amount, 30)",-0.028562029057639726,-0.30236669660436694,-0.05445056376488634,-0.5093964957429892,0.37209302325581395
amt_trend,"Mean($amount, 3) / Mean($amount, 15) - 1",-0.026566945886681424,-0.2985253739493203,-0.04331147896036294,-0.4244274421709846,0.35841313269493846
turnover_ratio_5,"Mean($amount, 5) / Mean($amount, 50)",-0.026964747813065126,-0.24251053004698803,-0.057201835086105275,-0.47556746140684475,0.3844049247606019
price_vol_corr,"Corr(Log($close), Log($volume), 20)",-0.024651656203490097,-0.3002651043631876,-0.05973290910440998,-0.5963028431321995,0.4021887824897401
high_pos,"($close - Ref(Max($high, 60), 0)) / (Ref(Max($high, 120), 0) - Ref(Min($low, 250), 0))",-0.012647504747930752,-0.11837152299237416,-0.03225282742501435,-0.2692463898120226,0.4746922024623803
body_position,($close - $open) / ($high - $low + 1e-9),-0.008262765134214761,-0.06838767486312906,-0.01848349277297781,-0.12904998976696916,0.47332421340629277
upper_wick_approx,($high - ($open + $close) / 2) / ($high - $low + 1e-9),0.00020626482272921597,0.0025361163914835766,-0.007647307988756421,-0.07473502776481995,0.4911080711354309
lower_wick_approx,(($open + $close) / 2 - $low) / ($high - $low + 1e-9),0.00198275851914877,0.024057627983933946,0.009600823151701637,0.09340560377994371,0.5047879616963065
bias_20,"($close - Mean($close, 30)) / Std($close, 10)",-0.020768252913007795,-0.16038399633047945,-0.05323205242475352,-0.3563599645631216,0.46238030095759236
